"Sample"	"TP142"	"TP152"	"TP174"	"TP325"	"TP326"	"TP330"	"TP341"	"TP406"	"TP434"	"TP45"	"TP80B"	
"MOBS14"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS15"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS16"	"145,145"	"154,154"	"170,170"		"226,226"		"308,308"		"163,163"	"368,368"		
"MOBS16"	"145,145"	"154,154"	"170,170"		"226,226"		"308,308"	"216,216"	"163,163"	"368,368"		
"MOBS17"	"145,145"	"154,154"	"170,170"		"226,226"	"356,356"	"317,317"	"213,213"	"163,163"	"368,368"	"220,220"	
"MOBS18"	"145,145"	"154,154"	"170,170"		"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS19"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS20"										"368,368"		"**combine,wit,new"
"MOBS20"	"145,145"	"154,154"		"165,165"	"226,226"		"308,308"	"213,213"		"368,368"		
"MOBS21"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"220,220"	
"MOBS22"		"154,154"		"153,153"			"308,308"					
"MOBS23"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"		"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS24"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"368,368"	"211,211"	
"MOBS25"		"154,154"	"170,170"	"165,165"	"226,226"		"308,308"		"163,163"	"368,368"		
"MOBS26"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"		"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS27"	"145,145"		"170,170"				"308,308"					
"MOBS28"	"145,145"	"154,154"	"170,170"	"153,153"		"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
"MOBS29"		"154,154"	"170,170"				"308,308"		"163,163"	"368,368"		
"MOBS3"												
"MOBS30"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"198,213"	"163,163"	"368,368"	"211,211"	
"MOBS31"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"211,211"	
